num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train_loss,validation_accuracy,validation_loss,bound
150,Tanh,[50],0,10,0.05,0.1,82.116,0.5307342719401109,82.0376,0.5316814617039359,10.549110767955083
150,Tanh,[50],0,10,0.05,0.2,82.116,0.5307342719401109,82.0376,0.5316814617039359,4.809877417374542
150,Tanh,[50],0,10,0.05,0.3,82.116,0.5307342719401109,82.0376,0.5316814617039359,3.0886001606628706
150,Tanh,[50],0,10,0.05,0.4,82.116,0.5307342719401109,82.0376,0.5316814617039359,2.31385119073597
150,Tanh,[50],0,10,0.05,0.5,82.116,0.5307342719401109,82.0376,0.5316814617039359,1.9024806382699389
150,Tanh,[50],0,10,0.1,0.1,82.116,0.5307342719401109,82.0376,0.5316814617039359,10.549104333920996
150,Tanh,[50],0,10,0.1,0.2,82.116,0.5307342719401109,82.0376,0.5316814617039359,4.809862738411023
150,Tanh,[50],0,10,0.1,0.3,82.116,0.5307342719401109,82.0376,0.5316814617039359,3.0885759014194805
150,Tanh,[50],0,10,0.1,0.4,82.116,0.5307342719401109,82.0376,0.5316814617039359,2.3138160710812685
150,Tanh,[50],0,10,0.1,0.5,82.116,0.5307342719401109,82.0376,0.5316814617039359,1.9024333354440077
150,Tanh,[50],0,10,0.2,0.1,82.116,0.5307342719401109,82.0376,0.5316814617039359,10.549097899882895
150,Tanh,[50],0,10,0.2,0.2,82.116,0.5307342719401109,82.0376,0.5316814617039359,4.809848059399871
150,Tanh,[50],0,10,0.2,0.3,82.116,0.5307342719401109,82.0376,0.5316814617039359,3.0885516419610823
150,Tanh,[50],0,10,0.2,0.4,82.116,0.5307342719401109,82.0376,0.5316814617039359,2.3137809507742184
150,Tanh,[50],0,10,0.2,0.5,82.116,0.5307342719401109,82.0376,0.5316814617039359,1.902386031024032
150,Tanh,[50],0,10,0.3,0.1,82.116,0.5307342719401109,82.0376,0.5316814617039359,10.54909413621002
150,Tanh,[50],0,10,0.3,0.2,82.116,0.5307342719401109,82.0376,0.5316814617039359,4.8098394727067175
150,Tanh,[50],0,10,0.3,0.3,82.116,0.5307342719401109,82.0376,0.5316814617039359,3.0885374509879573
150,Tanh,[50],0,10,0.3,0.4,82.116,0.5307342719401109,82.0376,0.5316814617039359,2.313760406409155
150,Tanh,[50],0,10,0.3,0.5,82.116,0.5307342719401109,82.0376,0.5316814617039359,1.9023583589732094
150,Tanh,[50],0,10,0.4,0.1,82.116,0.5307342719401109,82.0376,0.5316814617039359,10.549091465840783
150,Tanh,[50],0,10,0.4,0.2,82.116,0.5307342719401109,82.0376,0.5316814617039359,4.809833380341086
150,Tanh,[50],0,10,0.4,0.3,82.116,0.5307342719401109,82.0376,0.5316814617039359,3.08852738228767
150,Tanh,[50],0,10,0.4,0.4,82.116,0.5307342719401109,82.0376,0.5316814617039359,2.3137458298147826
150,Tanh,[50],0,10,0.4,0.5,82.116,0.5307342719401109,82.0376,0.5316814617039359,1.9023387250098505
150,Tanh,[200],0,10,0.05,0.1,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,9.192632605999204
150,Tanh,[200],0,10,0.05,0.2,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,4.167823672960638
150,Tanh,[200],0,10,0.05,0.3,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,2.6625938458542144
150,Tanh,[200],0,10,0.05,0.4,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.9868519339007267
150,Tanh,[200],0,10,0.05,0.5,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.6310677191083636
150,Tanh,[200],0,10,0.1,0.1,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,9.192625218698115
150,Tanh,[200],0,10,0.1,0.2,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,4.167806714020895
150,Tanh,[200],0,10,0.1,0.3,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,2.662565655237014
150,Tanh,[200],0,10,0.1,0.4,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.9868108786872174
150,Tanh,[200],0,10,0.1,0.5,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.631012066311399
150,Tanh,[200],0,10,0.2,0.1,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,9.192617831390956
150,Tanh,[200],0,10,0.2,0.2,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,4.167789755007699
150,Tanh,[200],0,10,0.2,0.3,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,2.662537464282419
150,Tanh,[200],0,10,0.2,0.4,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.9867698224315378
150,Tanh,[200],0,10,0.2,0.5,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.630956410918411
150,Tanh,[200],0,10,0.3,0.1,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,9.192613510090471
150,Tanh,[200],0,10,0.3,0.2,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,4.167779834586878
150,Tanh,[200],0,10,0.3,0.3,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,2.6625209734747095
150,Tanh,[200],0,10,0.3,0.4,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.9867458055783926
150,Tanh,[200],0,10,0.3,0.5,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.6309238533969614
150,Tanh,[200],0,10,0.4,0.1,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,9.192610444077726
150,Tanh,[200],0,10,0.4,0.2,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,4.1677727959210475
150,Tanh,[200],0,10,0.4,0.3,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,2.662509272990416
150,Tanh,[200],0,10,0.4,0.4,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.9867287651336085
150,Tanh,[200],0,10,0.4,0.5,83.72773333333333,0.48458072384469747,83.744,0.4862128649299684,1.6309007529290358
