num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train_loss,validation_accuracy,validation_loss,bound
75,Tanh,[50],0,10,0.05,0.1,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,10.558314880304447
75,Tanh,[50],0,10,0.05,0.2,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,4.813950994243144
75,Tanh,[50],0,10,0.05,0.3,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,3.0911971234401303
75,Tanh,[50],0,10,0.05,0.4,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,2.315664029135384
75,Tanh,[50],0,10,0.05,0.5,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,1.9038234192893322
75,Tanh,[50],0,10,0.1,0.1,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,10.558308451983404
75,Tanh,[50],0,10,0.1,0.2,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,4.813936328874992
75,Tanh,[50],0,10,0.1,0.3,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,3.091172887521679
75,Tanh,[50],0,10,0.1,0.4,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,2.3156289445055553
75,Tanh,[50],0,10,0.1,0.5,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,1.9037761654352532
75,Tanh,[50],0,10,0.2,0.1,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,10.55830202365836
75,Tanh,[50],0,10,0.2,0.2,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,4.813921663459339
75,Tanh,[50],0,10,0.2,0.3,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,3.0911486513888393
75,Tanh,[50],0,10,0.2,0.4,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,2.315593859225327
75,Tanh,[50],0,10,0.2,0.5,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,1.9037289099920756
75,Tanh,[50],0,10,0.3,0.1,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,10.558298263327414
75,Tanh,[50],0,10,0.3,0.2,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,4.813913084719105
75,Tanh,[50],0,10,0.3,0.3,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,3.0911344740605786
75,Tanh,[50],0,10,0.3,0.4,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,2.315573335350545
75,Tanh,[50],0,10,0.3,0.5,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,1.9037012665931359
75,Tanh,[50],0,10,0.4,0.1,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,10.558295595329316
75,Tanh,[50],0,10,0.4,0.2,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,4.8139069979961855
75,Tanh,[50],0,10,0.4,0.3,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,3.0911244150416053
75,Tanh,[50],0,10,0.4,0.4,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,2.3155587732946636
75,Tanh,[50],0,10,0.4,0.5,82.10826666666667,0.5308816071154722,82.0328,0.5318047064475662,1.9036816529596385
75,Tanh,[200],0,10,0.05,0.1,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,9.12451263893928
75,Tanh,[200],0,10,0.05,0.2,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,4.137504709076732
75,Tanh,[200],0,10,0.05,0.3,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,2.6441011469851463
75,Tanh,[200],0,10,0.05,0.4,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.9744648841288475
75,Tanh,[200],0,10,0.05,0.5,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.6227597056053693
75,Tanh,[200],0,10,0.1,0.1,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,9.124505195022017
75,Tanh,[200],0,10,0.1,0.2,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,4.13748761401424
75,Tanh,[200],0,10,0.1,0.3,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,2.6440727204146564
75,Tanh,[200],0,10,0.1,0.4,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.974423470633562
75,Tanh,[200],0,10,0.1,0.5,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.6227035455209788
75,Tanh,[200],0,10,0.2,0.1,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,9.124497751098543
75,Tanh,[200],0,10,0.2,0.2,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,4.13747051887651
75,Tanh,[200],0,10,0.2,0.3,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,2.6440442934982276
75,Tanh,[200],0,10,0.2,0.4,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.9743820560685819
75,Tanh,[200],0,10,0.2,0.5,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,1.6226473827689223
75,Tanh,[200],0,10,0.3,0.1,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,9.124493396679574
75,Tanh,[200],0,10,0.3,0.2,83.74293333333334,0.4846255674195371,83.7496,0.4862011130231918,4.137460518827115
