num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train loss,validation_accuracy,validation_loss,bound,train_loss
75,Tanh,[5],0,0.1,0.05,0.1,94.16106666666667,,94.0832,0.20467241864914537,12.093719749179455,0.20381148192306833
75,Tanh,[5],0,0.1,0.05,0.2,94.16106666666667,,94.0832,0.20467241864914537,5.386418509503682,0.20381148192306833
75,Tanh,[5],0,0.1,0.05,0.3,94.16106666666667,,94.0832,0.20467241864914537,3.327982527287964,0.20381148192306833
75,Tanh,[5],0,0.1,0.05,0.4,94.16106666666667,,94.0832,0.20467241864914537,2.365928312986332,0.20381148192306833
75,Tanh,[5],0,0.1,0.05,0.5,94.16106666666667,,94.0832,0.20467241864914537,1.82953093896597,0.20381148192306833
75,Tanh,[5],0,0.1,0.1,0.1,94.16106666666667,,94.0832,0.20467241864914537,12.093714226716491,0.20381148192306833
75,Tanh,[5],0,0.1,0.1,0.2,94.16106666666667,,94.0832,0.20467241864914537,5.386405989217936,0.20381148192306833
75,Tanh,[5],0,0.1,0.1,0.3,94.16106666666667,,94.0832,0.20467241864914537,3.327961953957328,0.20381148192306833
75,Tanh,[5],0,0.1,0.1,0.4,94.16106666666667,,94.0832,0.20467241864914537,2.365898700242473,0.20381148192306833
75,Tanh,[5],0,0.1,0.1,0.5,94.16106666666667,,94.0832,0.20467241864914537,1.829491293291972,0.20381148192306833
75,Tanh,[5],0,0.1,0.2,0.1,94.16106666666667,,94.0832,0.20467241864914537,12.093708704250991,0.20381148192306833
75,Tanh,[5],0,0.1,0.2,0.2,94.16106666666667,,94.0832,0.20467241864914537,5.386393468902634,0.20381148192306833
75,Tanh,[5],0,0.1,0.2,0.3,94.16106666666667,,94.0832,0.20467241864914537,3.327941380495551,0.20381148192306833
75,Tanh,[5],0,0.1,0.2,0.4,94.16106666666667,,94.0832,0.20467241864914537,2.3658690871075376,0.20381148192306833
