num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train_loss,validation_accuracy,validation_loss,bound
75,Tanh,[200],0,1,0.05,0.1,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,8.113530204771696
75,Tanh,[200],0,1,0.05,0.2,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,3.654844141551817
75,Tanh,[200],0,1,0.05,0.3,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,2.31765784105817
75,Tanh,[200],0,1,0.05,0.4,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.7171367011292527
75,Tanh,[200],0,1,0.05,0.5,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.4064478269183018
75,Tanh,[200],0,1,0.1,0.1,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,8.113521822779154
75,Tanh,[200],0,1,0.1,0.2,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,3.654824779647674
75,Tanh,[200],0,1,0.1,0.3,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,2.3176254647828998
75,Tanh,[200],0,1,0.1,0.4,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.7170892556276522
75,Tanh,[200],0,1,0.1,0.5,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.406383069144602
75,Tanh,[200],0,1,0.2,0.1,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,8.113513440777743
75,Tanh,[200],0,1,0.2,0.2,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,3.65480541763422
75,Tanh,[200],0,1,0.2,0.3,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,2.3175930879965274
75,Tanh,[200],0,1,0.2,0.4,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.7170418085175392
75,Tanh,[200],0,1,0.2,0.5,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.4063183072808
75,Tanh,[200],0,1,0.3,0.1,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,8.113508537617124
75,Tanh,[200],0,1,0.3,0.2,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,3.6547940915317367
75,Tanh,[200],0,1,0.3,0.3,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,2.317574148553663
75,Tanh,[200],0,1,0.3,0.4,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.7170140529916291
75,Tanh,[200],0,1,0.3,0.5,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.4062804221226335
75,Tanh,[200],0,1,0.4,0.1,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,8.113505058767462
75,Tanh,[200],0,1,0.4,0.2,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,3.654786055511453
75,Tanh,[200],0,1,0.4,0.3,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,2.317560710699028
75,Tanh,[200],0,1,0.4,0.4,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.71699435979875
75,Tanh,[200],0,1,0.4,0.5,83.80746666666667,0.46996199498811275,83.67360000000001,0.47363716504224856,1.4062535413261212
